,Parent,Child,ParentGeneName,ChildGeneName
15968,ENSG00000065183,ENSG00000182986,WDR3,ZNF320
15969,ENSG00000136699,ENSG00000148384,SMPD4,INPP5E
15970,ENSG00000136699,ENSG00000184117,SMPD4,NIPSNAP1
15971,ENSG00000164815,ENSG00000124207,ORC5,CSE1L
15972,ENSG00000164815,ENSG00000130768,ORC5,SMPDL3B
15973,ENSG00000164815,ENSG00000156017,ORC5,C9orf41
15974,ENSG00000164815,ENSG00000111196,ORC5,MAGOHB
15975,ENSG00000165512,ENSG00000152133,ZNF22,CCDC75
15976,ENSG00000115840,ENSG00000267680,SLC25A12,ZNF224
15977,ENSG00000133028,ENSG00000247240,SCO1,RP11-10O17.2
15978,ENSG00000138399,ENSG00000143409,FASTKD1,FAM63A
15979,ENSG00000264247,ENSG00000134884,RP11-231E4.4,ARGLU1
15980,ENSG00000264247,ENSG00000196981,RP11-231E4.4,WDR5B
15981,ENSG00000002919,ENSG00000101460,SNX11,MAP1LC3A
15982,ENSG00000127184,ENSG00000167785,COX7C,ZNF558
15983,ENSG00000127184,ENSG00000189043,COX7C,NDUFA4
15984,ENSG00000139180,ENSG00000168385,NDUFA9,2-Sep
15985,ENSG00000139180,ENSG00000106554,NDUFA9,CHCHD3
15986,ENSG00000166949,ENSG00000260461,SMAD3,RP11-541N10.3
15987,ENSG00000166949,ENSG00000157036,SMAD3,EXOG
15988,ENSG00000166949,ENSG00000183495,SMAD3,EP400
15989,ENSG00000166949,ENSG00000186318,SMAD3,BACE1
15990,ENSG00000166949,ENSG00000214900,SMAD3,C14orf182
15991,ENSG00000238113,ENSG00000204790,RP11-262H14.1,CBWD6
15992,ENSG00000238113,ENSG00000225411,RP11-262H14.1,RP11-764K9.1
15993,ENSG00000106803,ENSG00000121073,SEC61B,SLC35B1
15994,ENSG00000106803,ENSG00000034510,SEC61B,TMSB10
15995,ENSG00000143847,ENSG00000260903,PPFIA4,RP1-310O13.12
15996,ENSG00000198034,ENSG00000167286,RPS4X,CD3D
15997,ENSG00000082146,ENSG00000143162,STRADB,CREG1
15998,ENSG00000082146,ENSG00000103342,STRADB,GSPT1
15999,ENSG00000082146,ENSG00000168785,STRADB,TSPAN5
16000,ENSG00000082146,ENSG00000197256,STRADB,KANK2
16001,ENSG00000082146,ENSG00000197993,STRADB,KEL
16002,ENSG00000198925,ENSG00000007541,ATG9A,PIGQ
16003,ENSG00000187109,ENSG00000198586,NAP1L1,TLK1
16004,ENSG00000122376,ENSG00000104408,FAM35A,EIF3E
16005,ENSG00000122376,ENSG00000153879,FAM35A,CEBPG
16006,ENSG00000116171,ENSG00000163947,SCP2,ARHGEF3
16007,ENSG00000130985,ENSG00000182872,UBA1,RBM10
16008,ENSG00000130985,ENSG00000065000,UBA1,AP3D1
16009,ENSG00000130985,ENSG00000100207,UBA1,TCF20
16010,ENSG00000130985,ENSG00000116584,UBA1,ARHGEF2
16011,ENSG00000130985,ENSG00000169926,UBA1,KLF13
16012,ENSG00000130985,ENSG00000104419,UBA1,NDRG1
16013,ENSG00000182220,ENSG00000165092,ATP6AP2,ALDH1A1
16014,ENSG00000153310,ENSG00000104763,FAM49B,ASAH1
16015,ENSG00000153310,ENSG00000115339,FAM49B,GALNT3
16016,ENSG00000153310,ENSG00000117335,FAM49B,CD46
16017,ENSG00000153310,ENSG00000123684,FAM49B,LPGAT1
16018,ENSG00000153310,ENSG00000111052,FAM49B,LIN7A
16019,ENSG00000153310,ENSG00000156671,FAM49B,SAMD8
16020,ENSG00000153310,ENSG00000102218,FAM49B,RP2
16021,ENSG00000153310,ENSG00000197601,FAM49B,FAR1
16022,ENSG00000153310,ENSG00000062716,FAM49B,VMP1
16023,ENSG00000153310,ENSG00000065615,FAM49B,CYB5R4
16024,ENSG00000112237,ENSG00000112081,CCNC,SRSF3
16025,ENSG00000112237,ENSG00000172115,CCNC,CYCS
16026,ENSG00000112237,ENSG00000205581,CCNC,HMGN1
16027,ENSG00000112237,ENSG00000068912,CCNC,ERLEC1
16028,ENSG00000112237,ENSG00000128590,CCNC,DNAJB9
16029,ENSG00000112237,ENSG00000156531,CCNC,PHF6
16030,ENSG00000112237,ENSG00000166037,CCNC,CEP57
16031,ENSG00000112237,ENSG00000101166,CCNC,SLMO2
16032,ENSG00000112237,ENSG00000148154,CCNC,UGCG
16033,ENSG00000112237,ENSG00000182359,CCNC,KBTBD3
16034,ENSG00000112237,ENSG00000109606,CCNC,DHX15
16035,ENSG00000112237,ENSG00000155545,CCNC,MIER3
16036,ENSG00000112237,ENSG00000177888,CCNC,ZBTB41
16037,ENSG00000112237,ENSG00000119041,CCNC,GTF3C3
16038,ENSG00000112237,ENSG00000137992,CCNC,DBT
16039,ENSG00000112237,ENSG00000140367,CCNC,UBE2Q2
16040,ENSG00000112237,ENSG00000137714,CCNC,FDX1
16041,ENSG00000112237,ENSG00000081154,CCNC,PCNP
16042,ENSG00000112237,ENSG00000108064,CCNC,TFAM
16043,ENSG00000112237,ENSG00000073584,CCNC,SMARCE1
16044,ENSG00000112237,ENSG00000111711,CCNC,GOLT1B
16045,ENSG00000112237,ENSG00000038210,CCNC,PI4K2B
16046,ENSG00000155438,ENSG00000128534,MKI67IP,NAA38
16047,ENSG00000155438,ENSG00000138385,MKI67IP,SSB
16048,ENSG00000155438,ENSG00000176731,MKI67IP,C8orf59
16049,ENSG00000155438,ENSG00000108666,MKI67IP,C17orf75
16050,ENSG00000162623,ENSG00000236778,TYW3,INTS6-AS1
16051,ENSG00000081154,ENSG00000257267,PCNP,ZNF271
16052,ENSG00000230438,ENSG00000237604,RP11-420G6.4,AP001056.1
16053,ENSG00000081307,ENSG00000136937,UBA5,NCBP1
16054,ENSG00000173726,ENSG00000155906,TOMM20,RMND1
16055,ENSG00000173726,ENSG00000183520,TOMM20,UTP11L
16056,ENSG00000173726,ENSG00000152700,TOMM20,SAR1B
16057,ENSG00000173726,ENSG00000171490,TOMM20,RSL1D1
16058,ENSG00000173726,ENSG00000129480,TOMM20,DTD2
16059,ENSG00000115540,ENSG00000127314,MOB4,RAP1B
